opis_id,latitude,longitude,source
3979,41.5631053,-87.3544741,https://www.openstreetmap.org/way/219702639; unique chain/city/state match; approximate identity
4187,34.5767881,-84.9465965,https://www.openstreetmap.org/way/230493063; unique chain/city/state match; approximate identity
4239,38.0064695,-84.2100355,https://www.openstreetmap.org/node/9350460681; exact chain/store ref
4452,42.4547406,-92.4076061,https://www.openstreetmap.org/node/5209368661; exact chain/store ref
4860,41.1807332,-90.3370057,https://www.openstreetmap.org/way/264238454; unique chain/city/state match; approximate identity
4885,38.8737946,-89.3873125,https://www.openstreetmap.org/way/225051745; unique chain/city/state match; approximate identity
4910,38.9955522,-110.1484468,https://www.openstreetmap.org/way/241717704; unique chain/city/state match; approximate identity
5167,41.5070572,-87.3160098,https://www.openstreetmap.org/way/1037867368; exact chain/store ref
5227,35.3184092,-78.5757737,https://www.openstreetmap.org/way/236144789; unique chain/city/state match; approximate identity
5310,44.4704974,-93.2955098,https://www.openstreetmap.org/node/2713422670; unique chain/city/state match; approximate identity
5363,40.2408478,-76.4364564,https://www.openstreetmap.org/node/8380764144; exact chain/store ref
5389,41.2312152,-112.0073246,https://www.openstreetmap.org/node/10923316992; exact chain/store ref
5691,42.0903248,-86.4122987,https://www.openstreetmap.org/node/8382541028; unique chain/city/state match; approximate identity
5842,41.4262269,-87.755072,https://www.openstreetmap.org/way/219669690; unique chain/city/state match; approximate identity
6172,42.8616558,-84.886738,https://www.openstreetmap.org/node/8194262104; unique chain/city/state match; approximate identity
6393,38.2393925,-86.362395,https://www.openstreetmap.org/way/267162689; unique chain/city/state match; approximate identity
6981,42.7459552,-90.3416345,https://www.openstreetmap.org/way/446610719; unique chain/city/state match; approximate identity
7018,40.7271332,-111.9159856,https://www.openstreetmap.org/way/229730979; unique chain/city/state match; approximate identity
7173,42.0595447,-76.1414075,https://www.openstreetmap.org/node/8474057322; exact chain/store ref
7263,41.0521895,-102.0705214,https://www.openstreetmap.org/node/7502086792; unique chain/city/state match; approximate identity
7331,38.4996268,-82.6519922,https://www.openstreetmap.org/node/9622630882; exact chain/store ref
7406,42.4352323,-96.3733017,https://www.openstreetmap.org/node/5555013358; exact chain/store ref
7733,35.1937219,-101.7240293,https://www.openstreetmap.org/way/236120078; unique chain/city/state match; approximate identity
7838,44.7808584,-93.0340116,https://www.openstreetmap.org/way/231137532; unique chain/city/state match; approximate identity
7946,42.5272054,-88.9800144,https://www.openstreetmap.org/way/267159049; unique chain/city/state match; approximate identity
8987,35.4863865,-95.1492119,https://www.openstreetmap.org/way/226297129; unique chain/city/state match; approximate identity
9403,40.6592126,-75.0728833,https://www.openstreetmap.org/node/5792682395; unique chain/city/state match; approximate identity
9699,40.7813125,-81.4199636,https://www.openstreetmap.org/node/9687129562; exact chain/store ref
9703,41.7854902,-80.8543538,https://www.openstreetmap.org/way/220781342; unique chain/city/state match; approximate identity
9821,35.9977777,-86.5948145,https://www.openstreetmap.org/way/1253396934; unique chain/city/state match; approximate identity
9862,41.5730914,-87.4031059,https://www.openstreetmap.org/way/229466168; unique chain/city/state match; approximate identity
10116,41.9354501,-89.0340888,https://www.openstreetmap.org/way/640367846; unique chain/city/state match; approximate identity
10122,41.5617944,-87.3566096,https://www.openstreetmap.org/way/219703182; unique chain/city/state match; approximate identity
10126,38.4917379,-85.7731524,https://www.openstreetmap.org/node/7674506725; unique chain/city/state match; approximate identity
20050,35.1833958,-97.4992136,https://www.openstreetmap.org/way/669010289; unique chain/city/state match; approximate identity
52233,32.6702183,-114.578531,https://www.openstreetmap.org/node/9177102380; exact chain/store ref
52307,43.9702443,-94.6187267,https://www.openstreetmap.org/way/324679230; unique chain/city/state match; approximate identity
52363,43.2195508,-85.5691309,https://www.openstreetmap.org/node/8196801382; unique chain/city/state match; approximate identity
52401,35.1732559,-92.7433451,https://www.openstreetmap.org/way/224315666; unique chain/city/state match; approximate identity
52441,35.5835413,-78.1478709,https://www.openstreetmap.org/way/220150715; unique chain/city/state match; approximate identity
52458,34.7813813,-92.1273055,https://www.openstreetmap.org/way/218548058; unique chain/city/state match; approximate identity
52463,36.240684,-115.0978152,https://www.openstreetmap.org/way/264216829; unique chain/city/state match; approximate identity
52469,33.8866574,-98.4684731,https://www.openstreetmap.org/way/225735091; unique chain/city/state match; approximate identity
52471,40.8322871,-83.9673143,https://www.openstreetmap.org/way/229321016; exact chain/store ref
52473,39.6852467,-111.8371241,https://www.openstreetmap.org/node/13953887861; unique chain/city/state match; approximate identity
52474,42.3025791,-85.0821136,https://www.openstreetmap.org/node/2379587828; unique chain/city/state match; approximate identity
52479,34.3499272,-83.3211204,https://www.openstreetmap.org/way/219429368; exact chain/store ref
52549,41.4478705,-81.6693794,https://www.openstreetmap.org/node/2234571689; exact chain/store ref
52563,30.6418752,-83.1900756,https://www.openstreetmap.org/way/226930516; unique chain/city/state match; approximate identity
52575,37.0597044,-113.5819527,https://www.openstreetmap.org/way/241718232; unique chain/city/state match; approximate identity
52580,31.1374418,-81.5718894,https://www.openstreetmap.org/node/5486357522; exact chain/store ref
52591,37.9333612,-77.4737314,https://www.openstreetmap.org/way/220795018; exact chain/store ref
52607,36.0228999,-87.340852,https://www.openstreetmap.org/node/9861448027; unique chain/city/state match; approximate identity
52626,31.1403238,-81.5788371,https://www.openstreetmap.org/node/10062606870; exact chain/store ref
52633,36.0657799,-79.3098253,https://www.openstreetmap.org/node/5077700121; unique chain/city/state match; approximate identity
52640,41.4928705,-87.5126398,https://www.openstreetmap.org/way/1037267038; exact chain/store ref
52675,46.3968227,-105.8209361,https://www.openstreetmap.org/way/1306440658; unique chain/city/state match; approximate identity
52684,41.8146023,-90.241298,https://www.openstreetmap.org/way/1525686635; unique chain/city/state match; approximate identity
52697,40.1872493,-111.641964,https://www.openstreetmap.org/way/241716670; unique chain/city/state match; approximate identity
60191,33.4944141,-112.9377696,https://www.openstreetmap.org/way/951751974; unique chain/city/state match; approximate identity
60347,43.6517295,-93.3538824,https://www.openstreetmap.org/node/2232308351; unique chain/city/state match; approximate identity
60579,37.2898034,-79.9102771,https://www.openstreetmap.org/node/9269914772; exact chain/store ref
60833,41.9387844,-88.1179605,https://www.openstreetmap.org/way/850669924; exact chain/store ref
60834,41.7485431,-87.7990404,https://www.openstreetmap.org/way/418082563; exact chain/store ref
60851,41.904493,-88.0418868,https://www.openstreetmap.org/way/850669442; exact chain/store ref
60882,41.5624269,-85.797608,https://www.openstreetmap.org/node/9573076216; exact chain/store ref
60902,41.7375957,-86.3349073,https://www.openstreetmap.org/way/1038876758; exact chain/store ref
61111,39.5469717,-94.3286806,https://www.openstreetmap.org/way/651855754; unique chain/city/state match; approximate identity
61193,41.0870366,-83.6570297,https://www.openstreetmap.org/node/9670940547; exact chain/store ref
61205,35.7207131,-78.5858617,https://www.openstreetmap.org/node/1646480638; exact chain/store ref
61849,43.0903707,-88.9100124,https://www.openstreetmap.org/way/503489087; unique chain/city/state match; approximate identity
61862,44.0443139,-89.108026,https://www.openstreetmap.org/node/12941504527; exact chain/store ref
61867,43.9334243,-90.8212611,https://www.openstreetmap.org/way/505982358; exact chain/store ref
62841,42.5907884,-76.1332034,https://www.openstreetmap.org/node/4432338049; exact chain/store ref
62887,39.3144486,-84.4640934,https://www.openstreetmap.org/node/9900889899; exact chain/store ref
63353,40.3401413,-88.7607551,https://www.openstreetmap.org/node/14017694326; unique chain/city/state match; approximate identity
63391,41.1014741,-100.7263421,https://www.openstreetmap.org/node/13443771149; unique chain/city/state match; approximate identity
63500,43.3486659,-83.8593718,https://www.openstreetmap.org/way/836154451; unique chain/city/state match; approximate identity
63510,34.3453287,-79.5344354,https://www.openstreetmap.org/node/4782121832; unique chain/city/state match; approximate identity
63512,36.0939865,-79.9954415,https://www.openstreetmap.org/node/2515776528; exact chain/store ref
63565,32.9440135,-112.733305,https://www.openstreetmap.org/node/914190265; unique chain/city/state match; approximate identity
63572,34.7283229,-114.3159951,https://www.openstreetmap.org/way/223539704; unique chain/city/state match; approximate identity
63581,37.9614847,-84.3872423,https://www.openstreetmap.org/node/9354092729; unique chain/city/state match; approximate identity
63613,32.3412807,-108.6770561,https://www.openstreetmap.org/relation/21083112; unique chain/city/state match; approximate identity
63616,42.3936315,-83.7612933,https://www.openstreetmap.org/node/1615932043; unique chain/city/state match; approximate identity
63627,34.4681007,-89.0067231,https://www.openstreetmap.org/way/236750655; unique chain/city/state match; approximate identity
63652,42.4689836,-91.9036319,https://www.openstreetmap.org/node/5624680010; unique chain/city/state match; approximate identity
63653,42.0867534,-110.9479791,https://www.openstreetmap.org/node/6556592496; unique chain/city/state match; approximate identity
63661,34.9289335,-89.793757,https://www.openstreetmap.org/way/230879554; unique chain/city/state match; approximate identity
63715,40.8364348,-111.9341022,https://www.openstreetmap.org/node/12197868154; unique chain/city/state match; approximate identity
63720,33.4609104,-112.205449,https://www.openstreetmap.org/node/1660172680; unique chain/city/state match; approximate identity
63729,40.7394515,-114.066462,https://www.openstreetmap.org/way/264209941; unique chain/city/state match; approximate identity
63755,35.4046385,-94.5216602,https://www.openstreetmap.org/way/265529438; unique chain/city/state match; approximate identity
63766,41.7983915,-83.69414,https://www.openstreetmap.org/way/796722330; unique chain/city/state match; approximate identity
63768,39.0032073,-93.7347166,https://www.openstreetmap.org/way/555000321; unique chain/city/state match; approximate identity
63770,41.7893368,-80.8556286,https://www.openstreetmap.org/way/220780613; unique chain/city/state match; approximate identity
63775,42.4934138,-88.9991753,https://www.openstreetmap.org/way/827484727; unique chain/city/state match; approximate identity
63787,30.4521205,-88.9337441,https://www.openstreetmap.org/way/165891523; unique chain/city/state match; approximate identity
63912,30.759652,-81.6559665,https://www.openstreetmap.org/node/10010181374; exact chain/store ref
64002,37.829207,-85.7237582,https://www.openstreetmap.org/node/8584505731; exact chain/store ref
64040,30.2533989,-93.0145672,https://www.openstreetmap.org/node/4169753069; unique chain/city/state match; approximate identity
64082,42.9835799,-83.9283932,https://www.openstreetmap.org/node/8116461720; unique chain/city/state match; approximate identity
64153,35.9559652,-78.8417655,https://www.openstreetmap.org/node/9395599063; exact chain/store ref
64155,36.1460493,-78.7228225,https://www.openstreetmap.org/way/586982792; exact chain/store ref
64156,35.6089149,-78.5614569,https://www.openstreetmap.org/node/9254016940; exact chain/store ref
64187,35.5215165,-105.2519351,https://www.openstreetmap.org/node/2879191692; exact chain/store ref
64229,39.9801793,-82.4853272,https://www.openstreetmap.org/way/924413154; exact chain/store ref
64285,35.1660141,-81.4509705,https://www.openstreetmap.org/node/651186894; unique chain/city/state match; approximate identity
64347,36.5824158,-79.3538965,https://www.openstreetmap.org/way/220906405; unique chain/city/state match; approximate identity
64435,36.5816897,-79.3491921,https://www.openstreetmap.org/node/6515249636; exact chain/store ref
64438,36.6751074,-78.926771,https://www.openstreetmap.org/node/5497869217; unique chain/city/state match; approximate identity
64446,42.5243101,-88.9851627,https://www.openstreetmap.org/node/9206357192; exact chain/store ref
64455,38.0662386,-78.8773781,https://www.openstreetmap.org/node/3137211147; exact chain/store ref
64487,39.1492443,-88.531433,https://www.openstreetmap.org/way/1289022151; unique chain/city/state match; approximate identity
64514,31.9971323,-106.5862026,https://www.openstreetmap.org/way/236124449; unique chain/city/state match; approximate identity
64529,35.1962494,-101.7414028,https://www.openstreetmap.org/way/220362345; unique chain/city/state match; approximate identity
64600,35.4568705,-93.483509,https://www.openstreetmap.org/way/1350812373; unique chain/city/state match; approximate identity
64679,34.6083658,-92.5337165,https://www.openstreetmap.org/way/264987548; unique chain/city/state match; approximate identity
64755,38.9391976,-92.7736365,https://www.openstreetmap.org/way/554602289; unique chain/city/state match; approximate identity
64779,28.522777,-82.3036304,https://www.openstreetmap.org/node/2664345630; exact chain/store ref
64877,41.4888176,-91.5472367,https://www.openstreetmap.org/node/2826175726; unique chain/city/state match; approximate identity
64920,41.9101174,-89.0694434,https://www.openstreetmap.org/way/821222854; unique chain/city/state match; approximate identity
64928,41.7372333,-87.8843611,https://www.openstreetmap.org/way/1029292930; exact chain/store ref
65033,40.8335656,-83.9644551,https://www.openstreetmap.org/way/229320512; exact chain/store ref
65141,44.0206376,-92.7455651,https://www.openstreetmap.org/node/1780720951; unique chain/city/state match; approximate identity
65162,38.4859802,-90.3573707,https://www.openstreetmap.org/way/578817357; unique chain/city/state match; approximate identity
65251,35.1477096,-77.106879,https://www.openstreetmap.org/node/2819577014; exact chain/store ref
65252,35.9652306,-77.3038923,https://www.openstreetmap.org/way/1016972190; exact chain/store ref
65268,36.056122,-80.2094919,https://www.openstreetmap.org/node/5970879413; exact chain/store ref
65320,40.8921299,-74.6857592,https://www.openstreetmap.org/way/267162756; exact chain/store ref
65415,40.7476336,-81.5165186,https://www.openstreetmap.org/node/9588036068; exact chain/store ref
65573,33.9903111,-79.1995703,https://www.openstreetmap.org/node/5776031278; exact chain/store ref
65588,32.8032619,-80.1104432,https://www.openstreetmap.org/node/1642426546; exact chain/store ref
65793,44.0240487,-89.8104973,https://www.openstreetmap.org/way/1333063563; unique chain/city/state match; approximate identity
65804,44.1989781,-88.6805573,https://www.openstreetmap.org/way/704300179; exact chain/store ref
65809,44.0260531,-90.0747806,https://www.openstreetmap.org/way/991978190; unique chain/city/state match; approximate identity
65837,40.3708354,-82.830336,https://www.openstreetmap.org/way/229321788; unique chain/city/state match; approximate identity
65858,41.6917663,-86.8040159,https://www.openstreetmap.org/node/9565802915; exact chain/store ref
65859,41.6676483,-85.8223158,https://www.openstreetmap.org/node/4606449386; exact chain/store ref
65862,38.0199231,-79.1409781,https://www.openstreetmap.org/node/4609317831; unique chain/city/state match; approximate identity
65866,41.824289,-75.6823855,https://www.openstreetmap.org/way/220548459; unique chain/city/state match; approximate identity
65914,40.9219186,-98.3594083,https://www.openstreetmap.org/way/549375768; unique chain/city/state match; approximate identity
65983,36.0725372,-76.6118136,https://www.openstreetmap.org/node/9376620267; exact chain/store ref
66020,39.9685708,-81.9029346,https://www.openstreetmap.org/way/220778962; unique chain/city/state match; approximate identity
66021,37.9791505,-85.6941354,https://www.openstreetmap.org/way/225808185; unique chain/city/state match; approximate identity
66026,39.1341783,-88.5665489,https://www.openstreetmap.org/way/223479935; unique chain/city/state match; approximate identity
66036,33.5620937,-86.8306737,https://www.openstreetmap.org/way/230483737; unique chain/city/state match; approximate identity
66040,35.19961,-113.903988,https://www.openstreetmap.org/way/223539583; unique chain/city/state match; approximate identity
66093,43.8770285,-92.4898329,https://www.openstreetmap.org/node/5631420253; unique chain/city/state match; approximate identity
66106,38.29259,-112.6532146,https://www.openstreetmap.org/way/235915020; unique chain/city/state match; approximate identity
66110,42.4348046,-96.3793738,https://www.openstreetmap.org/way/225361262; unique chain/city/state match; approximate identity
66120,36.0119881,-83.5323062,https://www.openstreetmap.org/node/6616599586; exact chain/store ref
66131,40.5309425,-74.3253829,https://www.openstreetmap.org/node/9239315135; exact chain/store ref
66250,36.0130768,-78.5168228,https://www.openstreetmap.org/node/9393331159; exact chain/store ref
66263,40.4854665,-75.8398628,https://www.openstreetmap.org/way/971353223; exact chain/store ref
66273,33.995083,-86.0827357,https://www.openstreetmap.org/node/12302815184; unique chain/city/state match; approximate identity
66294,42.7871614,-84.6776202,https://www.openstreetmap.org/node/8255967372; unique chain/city/state match; approximate identity
66295,42.8712569,-87.9415223,https://www.openstreetmap.org/node/635243687; unique chain/city/state match; approximate identity
66315,41.6496777,-86.8946126,https://www.openstreetmap.org/way/953827008; exact chain/store ref
66322,38.155157,-88.910879,https://www.openstreetmap.org/node/2382882894; unique chain/city/state match; approximate identity
66352,44.1003612,-88.5422821,https://www.openstreetmap.org/way/768027037; exact chain/store ref
66370,35.6951887,-77.9399853,https://www.openstreetmap.org/node/9389516295; exact chain/store ref
66386,36.7475667,-79.9375042,https://www.openstreetmap.org/way/982350179; exact chain/store ref
66405,43.4515033,-83.8940692,https://www.openstreetmap.org/node/8038471969; unique chain/city/state match; approximate identity
66475,32.6857237,-115.3799236,https://www.openstreetmap.org/node/3766932699; exact chain/store ref
66478,39.019533,-95.5082829,https://www.openstreetmap.org/way/379404858; exact chain/store ref
66534,38.9339181,-92.7791729,https://www.openstreetmap.org/way/554597211; unique chain/city/state match; approximate identity
66564,35.9205407,-80.0006037,https://www.openstreetmap.org/node/8917695435; exact chain/store ref
66631,42.7563269,-85.0751385,https://www.openstreetmap.org/node/5769351878; unique chain/city/state match; approximate identity
66670,35.4132076,-78.8076856,https://www.openstreetmap.org/node/6386087748; exact chain/store ref
66725,38.1929299,-85.7512515,https://www.openstreetmap.org/node/9370970632; exact chain/store ref
66747,42.4555849,-88.9981138,https://www.openstreetmap.org/way/225052242; unique chain/city/state match; approximate identity
66761,33.8182782,-79.0236754,https://www.openstreetmap.org/node/2724814156; exact chain/store ref
66763,34.9660609,-80.0619876,https://www.openstreetmap.org/node/9408882326; exact chain/store ref
66769,30.7938961,-81.6664383,https://www.openstreetmap.org/node/11332080373; exact chain/store ref
66858,33.2802497,-111.962264,https://www.openstreetmap.org/node/4854438923; unique chain/city/state match; approximate identity
66865,33.8908289,-98.4829898,https://www.openstreetmap.org/way/236135484; unique chain/city/state match; approximate identity
66869,36.6281694,-79.8593276,https://www.openstreetmap.org/node/9273408383; exact chain/store ref
66876,37.2552842,-87.4492883,https://www.openstreetmap.org/way/223215971; unique chain/city/state match; approximate identity
66892,42.2801905,-84.930575,https://www.openstreetmap.org/way/224604417; unique chain/city/state match; approximate identity
66900,34.0510623,-86.8721403,https://www.openstreetmap.org/node/12323068362; unique chain/city/state match; approximate identity
66912,37.7260076,-113.0510253,https://www.openstreetmap.org/way/225054740; unique chain/city/state match; approximate identity
66914,35.5746783,-78.1459266,https://www.openstreetmap.org/node/5486357422; unique chain/city/state match; approximate identity
66937,37.9814564,-91.71978,https://www.openstreetmap.org/way/677336596; unique chain/city/state match; approximate identity
67037,40.9965463,-81.9943785,https://www.openstreetmap.org/way/225055027; exact chain/store ref
67054,40.7698551,-111.940788,https://www.openstreetmap.org/way/225054893; unique chain/city/state match; approximate identity
67067,40.0778674,-104.648352,https://www.openstreetmap.org/node/4182375319; unique chain/city/state match; approximate identity
67069,39.2755194,-103.7089997,https://www.openstreetmap.org/node/9984605765; unique chain/city/state match; approximate identity
67081,33.1598486,-84.8712874,https://www.openstreetmap.org/way/225050448; exact chain/store ref
67085,41.0922229,-74.1558217,https://www.openstreetmap.org/relation/9107525; exact chain/store ref
67086,34.6972622,-77.1395849,https://www.openstreetmap.org/node/9373095979; exact chain/store ref
67087,34.4391209,-77.8801756,https://www.openstreetmap.org/way/1015999585; exact chain/store ref
67091,34.9887535,-79.2510939,https://www.openstreetmap.org/node/9402544206; exact chain/store ref
67092,35.8347893,-76.7651801,https://www.openstreetmap.org/way/275611912; exact chain/store ref
67095,35.5190617,-77.0920618,https://www.openstreetmap.org/node/2817088468; exact chain/store ref
67096,35.0180403,-78.9031285,https://www.openstreetmap.org/way/1019262326; exact chain/store ref
67097,35.2440567,-77.6167835,https://www.openstreetmap.org/node/9388525113; exact chain/store ref
67101,35.2511916,-80.5015912,https://www.openstreetmap.org/node/9409019420; exact chain/store ref
67103,35.8461889,-77.0507476,https://www.openstreetmap.org/node/9380267828; exact chain/store ref
67107,33.8080912,-79.0190717,https://www.openstreetmap.org/node/2709715116; exact chain/store ref
67108,33.8548815,-78.8152867,https://www.openstreetmap.org/node/2783581861; exact chain/store ref
67109,36.6894273,-76.6088576,https://www.openstreetmap.org/node/9275174397; exact chain/store ref
67114,41.0787296,-87.8683672,https://www.openstreetmap.org/way/251859826; exact chain/store ref
67125,41.1731985,-80.5693148,https://www.openstreetmap.org/way/220784541; unique chain/city/state match; approximate identity
67155,38.9705692,-89.1364412,https://www.openstreetmap.org/node/4743143943; unique chain/city/state match; approximate identity
67163,40.5174748,-76.1115035,https://www.openstreetmap.org/way/645515149; unique chain/city/state match; approximate identity
67164,39.2556647,-112.116115,https://www.openstreetmap.org/way/235915986; unique chain/city/state match; approximate identity
67167,44.0445948,-116.9759732,https://www.openstreetmap.org/way/1317725115; unique chain/city/state match; approximate identity
67196,43.9972884,-92.2479074,https://www.openstreetmap.org/node/1583445707; unique chain/city/state match; approximate identity
67211,43.8539119,-88.8616864,https://www.openstreetmap.org/way/251404341; unique chain/city/state match; approximate identity
67219,45.4646766,-91.1117801,https://www.openstreetmap.org/way/1322056015; unique chain/city/state match; approximate identity
67226,43.9229632,-91.2452415,https://www.openstreetmap.org/node/7178523488; exact chain/store ref
67234,43.6813641,-90.265628,https://www.openstreetmap.org/way/1327355898; unique chain/city/state match; approximate identity
67242,36.2794402,-80.8256456,https://www.openstreetmap.org/node/9414286332; exact chain/store ref
67243,34.7244471,-114.3153797,https://www.openstreetmap.org/way/264993829; unique chain/city/state match; approximate identity
67245,33.8434586,-79.0872344,https://www.openstreetmap.org/node/2738902947; exact chain/store ref
67246,34.7627516,-77.4863813,https://www.openstreetmap.org/node/9375053780; exact chain/store ref
67248,35.7256116,-78.5811152,https://www.openstreetmap.org/way/47662109; exact chain/store ref
67293,43.5669019,-88.9162773,https://www.openstreetmap.org/node/9414098535; unique chain/city/state match; approximate identity
67296,36.3818449,-114.8962095,https://www.openstreetmap.org/way/225364818; unique chain/city/state match; approximate identity
67298,39.9499108,-83.3828107,https://www.openstreetmap.org/way/221788337; exact chain/store ref
67322,34.3159845,-88.7911133,https://www.openstreetmap.org/way/225873290; unique chain/city/state match; approximate identity
67348,41.9138845,-80.5701603,https://www.openstreetmap.org/node/8082089658; unique chain/city/state match; approximate identity
67357,46.8320766,-96.8448793,https://www.openstreetmap.org/way/225056492; exact chain/store ref
67365,44.0731965,-87.700124,https://www.openstreetmap.org/way/226013389; unique chain/city/state match; approximate identity
67367,43.5750958,-90.8882119,https://www.openstreetmap.org/node/2397971801; unique chain/city/state match; approximate identity
67393,33.4311834,-112.5913991,https://www.openstreetmap.org/way/223537903; unique chain/city/state match; approximate identity
67613,42.4703604,-92.4466442,https://www.openstreetmap.org/node/3951963019; exact chain/store ref
67616,44.2888483,-88.4772806,https://www.openstreetmap.org/way/642410177; exact chain/store ref
67620,34.7397992,-97.2226607,https://www.openstreetmap.org/node/12760087525; unique chain/city/state match; approximate identity
67622,46.6042296,-122.907754,https://www.openstreetmap.org/way/705008098; exact chain/store ref
67624,39.7407236,-104.4343359,https://www.openstreetmap.org/way/224603696; unique chain/city/state match; approximate identity
67657,44.2828475,-92.6678321,https://www.openstreetmap.org/node/2479666290; unique chain/city/state match; approximate identity
67683,40.8488975,-99.9854973,https://www.openstreetmap.org/node/8805633253; unique chain/city/state match; approximate identity
67685,41.9763727,-91.6190608,https://www.openstreetmap.org/node/3722124986; unique chain/city/state match; approximate identity
67702,28.3209893,-82.5026712,https://www.openstreetmap.org/way/427643373; exact chain/store ref
67703,27.886067,-82.7007233,https://www.openstreetmap.org/node/2606139608; exact chain/store ref
67706,40.6746252,-74.1989377,https://www.openstreetmap.org/node/9241674442; exact chain/store ref
67707,40.6324194,-74.2383122,https://www.openstreetmap.org/node/9239349490; exact chain/store ref
67726,35.6068708,-77.4299735,https://www.openstreetmap.org/way/631721386; exact chain/store ref
67727,35.6262863,-77.3282728,https://www.openstreetmap.org/node/9384576209; exact chain/store ref
67728,35.3115277,-77.1599727,https://www.openstreetmap.org/node/9377524507; exact chain/store ref
67729,35.9782467,-77.7899256,https://www.openstreetmap.org/node/9391943837; exact chain/store ref
67815,39.6159964,-86.4790292,https://www.openstreetmap.org/way/229464669; unique chain/city/state match; approximate identity
67818,34.6569452,-92.4125214,https://www.openstreetmap.org/way/893136392; unique chain/city/state match; approximate identity
67943,39.9791264,-86.3953228,https://www.openstreetmap.org/way/225347312; exact chain/store ref
67976,44.8875446,-88.0454783,https://www.openstreetmap.org/node/11168310864; exact chain/store ref
68154,41.072793,-87.866766,https://www.openstreetmap.org/way/225052008; unique chain/city/state match; approximate identity
68243,47.2420227,-122.4120193,https://www.openstreetmap.org/way/1033370988; unique chain/city/state match; approximate identity
68337,41.47036,-87.2594507,https://www.openstreetmap.org/way/1037871381; exact chain/store ref
68359,33.7912266,-87.2420682,https://www.openstreetmap.org/way/1258811613; unique chain/city/state match; approximate identity
68367,31.998197,-106.5812225,https://www.openstreetmap.org/way/225718776; unique chain/city/state match; approximate identity
